Party,Parent Category,Category,Gas,Unit,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,1. Energy,1.B.2 Oil and Natural Gas and Other Emissions from Energy Production,CO₂,kt,6088.71,6088.71,5829.54,6002.82,5941.58,5760.82,5949.3,5538.52,5354.37,5580.2,6037.41,6802.47,6954.28,6768.13,6059.92,5801.55,5618.57,5833.58,6219,6320.67,6658.27,6898.52,6329.11,6708.12,6960.09,7435.83,8919.14,10378.1,12720,14566,18138.9
Australia,1. Energy,1.B.2 Oil and Natural Gas and Other Emissions from Energy Production,N₂O,kt,0.135051,0.135051,0.124935,0.127388,0.120346,0.110902,0.115896,0.100719,0.0873552,0.0858049,0.091887,0.104352,0.108863,0.0989302,0.0832246,0.0825082,0.0788883,0.0810413,0.0903358,0.0913136,0.0972389,0.104521,0.084535,0.114272,0.119702,0.116996,0.159255,0.204154,0.270693,0.251548,0.303395
Australia,1. Energy,CO₂ Emissions from Biomass,Aggregate GHGs,kt CO₂ equivalent,15142.3,15142.3,15017.9,13705,15366.5,16319.3,17109.6,18141,19020.6,19328.7,19067.5,19243.9,18429.7,16548.9,18217.2,18497.3,19092,19106.1,19274.6,19671.6,14713.7,17201.5,16200.3,16569.9,18134.3,17964.6,19090.5,19074.8,20054.3,16270.8,15394.8
Australia,1. Energy,CO₂ Emissions from Biomass,CO₂,kt,15142.3,15142.3,15017.9,13705,15366.5,16319.3,17109.6,18141,19020.6,19328.7,19067.5,19243.9,18429.7,16548.9,18217.2,18497.3,19092,19106.1,19274.6,19671.6,14713.7,17201.5,16200.3,16569.9,18134.3,17964.6,19090.5,19074.8,20054.3,16270.8,15394.8
Australia,1. Energy,International Bunkers,Aggregate GHGs,kt CO₂ equivalent,6489.42,6489.42,6463.35,6672.42,7077.91,7461.81,8651.74,9150.16,9179.45,9568.06,9842.16,10233.7,10529.6,9661.29,8810.48,10034.4,10989.7,11601.7,11966.9,12254.7,12231.5,12480.1,11993.6,12960.7,13008.1,14170.3,13558.3,14173.3,15381,16282.8,17770.8
Australia,1. Energy,International Bunkers,CH₄,kt,0.207387,0.207387,0.188266,0.182122,0.182772,0.205063,0.269912,0.274334,0.256158,0.227152,0.248986,0.280056,0.264544,0.287057,0.280317,0.283365,0.26975,0.318865,0.260454,0.296132,0.275633,0.217372,0.197353,0.25406,0.206872,0.237313,0.190222,0.190573,0.19926,0.202098,0.286521
Australia,1. Energy,International Bunkers,CO₂,kt,6460.4,6460.4,6436.17,6645.57,7050.38,7431.58,8613.75,9111.05,9141.94,9532.99,9804.7,10192.7,10489.7,9620.18,8770.82,9992.89,10948.2,11554.7,11925.5,12209.3,12188,12442.1,11958.1,12918.6,12970.4,14128.3,13521.8,14136.1,15341.2,16242,17720
Australia,1. Energy,International Bunkers,N₂O,kt,0.0799939,0.0799939,0.0753868,0.0748239,0.0770655,0.0842599,0.104832,0.108221,0.104357,0.0986238,0.104829,0.114163,0.111706,0.113886,0.109563,0.115464,0.116667,0.130915,0.117106,0.127506,0.122815,0.109058,0.1026,0.120211,0.108935,0.120931,0.106502,0.108912,0.116707,0.119959,0.146489
Australia,1.A.1 Energy Industries,1.A.1.a Public Electricity and Heat Production,Aggregate GHGs,kt CO₂ equivalent,129580,129580,131723,134579,135505,137080,142701,147730,152762,165398,171623,175413,182686,183990,186561,194933,196762,201313,204125,205961,211695,205095,198498,199117,187049,180789,188989,194743,189771,183638,179451
Australia,1.A.1 Energy Industries,1.A.1.a Public Electricity and Heat Production,CH₄,kt,1.35675,1.35675,1.30003,1.32184,1.33924,1.38226,1.48742,1.52876,1.55188,3.31168,3.36636,5.9333,6.23858,5.93441,5.72919,5.98129,5.70117,6.24073,6.4539,6.92333,15.7018,14.2738,9.73537,13.2276,11.3464,15.7928,18.5415,26.4089,24.2598,24.9486,22.0455
